Adresse,Departement,Latitude,Longitude,Soiree,Thematique,Description,Forme,Date,Horaire,Lieu,Organisateurs,Contact,Lien,Prix,Photo
Rue Georges Jacquet 38000 Grenoble,Isere,45.18687,5.705632,Soiree 49,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",24/11/2020,20:30:00,Cie Les Fées Rosses,Cie Les Fées Rosses,email@gmail.com,http://traces-migrations.org/,,
2 Rue Louis Carrand 69005 Lyon,Rhone,45.765538,4.828591,Soiree 50,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Projection,,17:00:00,Cie M.A.,Cie M.A.,email@gmail.com,http://traces-migrations.org/,,
6 Rue Berthe de Boissieux 38000 Grenoble,Isere,45.184718,5.724798,Soiree 51,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",10/11/2020,20:30:00,Cimade Grenoble,Cimade Grenoble,email@gmail.com,http://traces-migrations.org/,,
Le Fraisse Sud 63880 Saint-Gervais-sous-Meymont,Auvergne,45.657602,3.603213,Soiree 52,Travail,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Concert,02/12/2020,20:30:00,Ciné Parc,Ciné Parc,email@gmail.com,http://traces-migrations.org/,,
1 Route d'Augel 42380 Saint-Bonnet-le-Château,Isere,45.421593,4.06431,Soiree 53,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,24/11/2020,17:00:00,Cinéma Cin’étoile,Cinéma Cin’étoile,email@gmail.com,http://traces-migrations.org/,,
Allée Henri Frenay 38000 Grenoble,Isere,45.183381,5.725773,Soiree 54,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Conference,,20:30:00,Cinéma Le Méliès,Cinéma Le Méliès,email@gmail.com,http://traces-migrations.org/,,
117 Cours Emile Zola 69100 Villeurbanne,Rhone,45.770556,4.874404,Soiree 56,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",02/12/2020,17:00:00,Cinéma le Zola,Cinéma le Zola,email@gmail.com,http://traces-migrations.org/,,
10 Place Jean Jaurès 42000 Saint-Étienne,Loire,45.441646,4.387294,Soiree 58,Habitat,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Theatre, Spectacle Participatif",,20:30:00,Cinéma(s) Le(s) Méliè(s),Cinéma(s) Le(s) Méliè(s),email@gmail.com,http://traces-migrations.org/,,
20 Rue Jo Gouttebarge 42000 Saint-Étienne,Loire,45.436324,4.381827,Soiree 59,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,"Concert, Exposition",10/11/2020,17:00:00,Cinémathèque de Saint-Etienne,Cinémathèque de Saint-Etienne,email@gmail.com,http://traces-migrations.org/,,
1 Route d'Augel 42380 Saint-Bonnet-le-Château,Loire,45.421593,4.06431,Soiree 60,Expression artistique des personnes migrantes,DescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescriptionDescription,Exposition,02/12/2020,20:30:00,Cinétoile,Cinétoile,email@gmail.com,http://traces-migrations.org/,,
